cod_cnes,competencia,cod_proced,cod_cbo,qtd_apresentada,qtd_aprovada,val_apresentado,val_aprovado,situacao
4038460,2026-04-01,0102010188,352210,273,273,0.00,0.00,
4038460,2026-04-01,0102010196,352210,5,5,0.00,0.00,
4038460,2026-04-01,0102010234,352210,41,41,0.00,0.00,
4038460,2026-04-01,0102010242,352210,59,59,0.00,0.00,
4038460,2026-04-01,0102010269,352210,3,3,0.00,0.00,
4038460,2026-04-01,0102010285,352210,15,15,0.00,0.00,
4038460,2026-04-01,0102010293,352210,2,2,0.00,0.00,
4038460,2026-04-01,0102010412,352210,1,1,0.00,0.00,
4038460,2026-04-01,0102010455,352210,43,43,0.00,0.00,
4038460,2026-04-01,0102010463,352210,58,58,0.00,0.00,
4038460,2026-04-01,0102010471,352210,83,83,0.00,0.00,
4038460,2026-04-01,0102010498,352210,2,2,0.00,0.00,
4038460,2026-04-01,0102010501,352210,4832,4832,0.00,0.00,
4038460,2026-04-01,0102010528,352210,26,26,0.00,0.00,
4038460,2026-04-01,0102010536,352210,12,12,0.00,0.00,
4057716,2026-04-01,0101010010,224140,3,3,0.00,0.00,
4057716,2026-04-01,0101010010,225125,1,1,0.00,0.00,
4057716,2026-04-01,0101010010,251510,8,8,0.00,0.00,
4057716,2026-04-01,0101010010,251605,1,1,0.00,0.00,
4057716,2026-04-01,0101010028,223505,1,1,2.70,2.70,
4057716,2026-04-01,0101010028,251510,8,8,21.60,21.60,
4057716,2026-04-01,0101010028,251605,1,1,2.70,2.70,
4057716,2026-04-01,0101010036,224140,10,10,0.00,0.00,
4057716,2026-04-01,0101030029,223505,4,4,0.00,0.00,
4057716,2026-04-01,0101050011,224140,26,26,0.00,0.00,
4057716,2026-04-01,0101050011,251510,46,46,0.00,0.00,
4057716,2026-04-01,0201020041,223505,9,9,0.00,0.00,
4057716,2026-04-01,0201020041,322205,18,18,0.00,0.00,
4057716,2026-04-01,0214010015,223505,3,3,0.00,0.00,
4057716,2026-04-01,0214010015,322205,10,10,0.00,0.00,
4057716,2026-04-01,0214010058,223505,6,6,6.00,6.00,
4057716,2026-04-01,0214010074,223505,5,5,5.00,5.00,
4057716,2026-04-01,0214010228,223505,6,6,0.00,0.00,
4057716,2026-04-01,0214010295,223505,6,6,0.00,0.00,
4057716,2026-04-01,0301010030,223505,41,41,0.00,0.00,
4057716,2026-04-01,0301010048,223505,51,51,321.30,321.30,
4057716,2026-04-01,0301010048,251510,26,26,163.80,163.80,
4057716,2026-04-01,0301010048,251605,23,23,144.90,144.90,
4057716,2026-04-01,0301010072,225125,28,28,280.00,280.00,
4057716,2026-04-01,0301010072,225133,69,69,690.00,690.00,
4057716,2026-04-01,0301040079,223505,23,23,0.00,0.00,
4057716,2026-04-01,0301040079,251605,1,1,0.00,0.00,
4057716,2026-04-01,0301040079,322205,8,8,0.00,0.00,
4057716,2026-04-01,0301040079,515305,1,1,0.00,0.00,
4057716,2026-04-01,0301050058,322205,1,1,0.00,0.00,
4057716,2026-04-01,0301060118,223505,8,8,0.00,0.00,
4057716,2026-04-01,0301080160,251510,36,36,201.24,201.24,
4057716,2026-04-01,0301080232,223505,2,2,0.00,0.00,
4057716,2026-04-01,0301080232,251510,5,5,0.00,0.00,
4057716,2026-04-01,0301080232,251605,4,4,0.00,0.00,
4057716,2026-04-01,0301080259,251605,1,1,0.00,0.00,
4057716,2026-04-01,0301080267,251605,3,3,0.00,0.00,
4057716,2026-04-01,0301080305,251510,1,1,0.00,0.00,
4057716,2026-04-01,0301080305,251605,1,1,0.00,0.00,
4057716,2026-04-01,0301080313,223505,54,54,0.00,0.00,
4057716,2026-04-01,0301080313,224140,17,17,0.00,0.00,
4057716,2026-04-01,0301080313,251510,23,23,0.00,0.00,
4057716,2026-04-01,0301080313,251605,4,4,0.00,0.00,
4057716,2026-04-01,0301100012,322205,37,37,23.31,23.31,
4057716,2026-04-01,0301100039,223505,17,17,0.00,0.00,
4057716,2026-04-01,0301100039,322205,69,69,0.00,0.00,
4057716,2026-04-01,0301100187,223505,1,1,0.00,0.00,
4057716,2026-04-01,0301100209,223505,6,6,0.00,0.00,
4057716,2026-04-01,0301100209,322205,8,8,0.00,0.00,
4057716,2026-04-01,0301100217,223505,5,5,0.00,0.00,
4057716,2026-04-01,0301100217,322205,19,19,0.00,0.00,
4057716,2026-04-01,0301100284,322205,2,2,0.00,0.00,
4143523,2026-04-01,0101010010,223505,14,14,0.00,0.00,
4143523,2026-04-01,0101010010,223905,5,5,0.00,0.00,
4143523,2026-04-01,0101010010,224140,9,9,0.00,0.00,
4143523,2026-04-01,0101010010,251510,12,12,0.00,0.00,
4143523,2026-04-01,0101010010,322205,7,7,0.00,0.00,
4143523,2026-04-01,0101010028,223505,37,37,99.90,99.90,
4143523,2026-04-01,0101010028,251510,5,5,13.50,13.50,
4143523,2026-04-01,0101010036,223905,1,1,0.00,0.00,
4143523,2026-04-01,0101010036,224140,2,2,0.00,0.00,
4143523,2026-04-01,0301010048,223505,9,9,56.70,56.70,
4143523,2026-04-01,0301010048,223905,6,6,37.80,37.80,
4143523,2026-04-01,0301010048,224140,10,10,63.00,63.00,
4143523,2026-04-01,0301010048,251510,64,64,403.20,403.20,
4143523,2026-04-01,0301010072,225133,114,114,1140.00,1140.00,
4143523,2026-04-01,0301040079,225133,1,1,0.00,0.00,
4143523,2026-04-01,0301040079,251510,3,3,0.00,0.00,
4143523,2026-04-01,0301040079,322205,12,12,0.00,0.00,
4143523,2026-04-01,0301080160,251510,1,1,5.59,5.59,
4143523,2026-04-01,0301080178,251510,4,4,10.20,10.20,
4143523,2026-04-01,0301080259,251510,37,37,0.00,0.00,
4143523,2026-04-01,0301080267,251510,1,1,0.00,0.00,
4143523,2026-04-01,0301080305,225133,3,3,0.00,0.00,
4254694,2026-04-01,0101010010,251605,1,1,0.00,0.00,
4254694,2026-04-01,0201010666,225250,3,3,54.99,54.99,
4254694,2026-04-01,0201020033,225250,16,16,0.00,0.00,
4254694,2026-04-01,0201020041,322205,1,1,0.00,0.00,
4254694,2026-04-01,0211040029,225250,27,27,91.26,91.26,
4254694,2026-04-01,0214010015,322205,1,1,0.00,0.00,
4254694,2026-04-01,0214010066,322205,3,3,0.00,0.00,
4254694,2026-04-01,0301010030,223710,48,48,0.00,0.00,
4254694,2026-04-01,0301010048,223505,29,29,182.70,182.70,
4254694,2026-04-01,0301010048,251605,5,5,31.50,31.50,
4254694,2026-04-01,0301010072,225124,64,64,640.00,640.00,
4254694,2026-04-01,0301010072,225250,213,213,2130.00,2130.00,
4254694,2026-04-01,0301040141,225250,5,5,0.00,0.00,
4254694,2026-04-01,0301040150,225250,1,1,0.00,0.00,
4254694,2026-04-01,0301040176,225250,5,5,0.00,0.00,
4254694,2026-04-01,0301100039,223505,7,7,0.00,0.00,
4254694,2026-04-01,0301100039,225250,72,72,0.00,0.00,
4254694,2026-04-01,0301100039,322205,67,67,0.00,0.00,
4254694,2026-04-01,0301100039,322245,8,8,0.00,0.00,
